Epoch,Avg Train Loss,Actions Acc,Looks Acc,Crosses Acc,Val Loss,Overall Val Acc
1,2.0463,0.478,0.4824,0.4807,2.1182,0.4804
2,1.8777,0.5764,0.4974,0.5237,2.0704,0.5325
3,1.7328,0.5,0.5,0.5,2.0932,0.5
4,1.6635,0.529,0.5237,0.5,2.0785,0.5176
5,1.5996,0.5,0.5492,0.4991,2.0877,0.5161
6,1.517,0.4728,0.4991,0.4868,2.1353,0.4862
7,1.4585,0.5018,0.5026,0.5009,2.1107,0.5018
8,1.4146,0.5826,0.5264,0.6599,1.9828,0.5896
9,1.3726,0.6564,0.4877,0.6134,2.0246,0.5858
10,1.3457,0.6415,0.5395,0.6134,1.9777,0.5981
11,1.2857,0.5018,0.536,0.4991,2.1869,0.5123
12,1.2454,0.5132,0.5035,0.5114,2.1076,0.5094
13,1.2068,0.5993,0.5264,0.5606,2.0543,0.5621
14,1.1399,0.5606,0.536,0.5202,2.0521,0.539
15,1.1097,0.4895,0.507,0.4842,2.11,0.4936
16,1.0812,0.6169,0.522,0.5975,2.0704,0.5788
17,1.0305,0.5879,0.5035,0.5817,2.0765,0.5577
18,1.0146,0.529,0.4956,0.5044,2.1435,0.5097
19,1.0051,0.5975,0.4982,0.5369,2.0979,0.5442
20,0.994,0.6757,0.5615,0.5606,2.0122,0.5993
21,0.992,0.6011,0.4859,0.5246,2.0839,0.5372
22,0.9662,0.6309,0.4613,0.5598,2.0761,0.5507
23,0.9575,0.6555,0.4438,0.565,2.0619,0.5548
24,0.9511,0.6406,0.4569,0.5747,2.0402,0.5574
25,0.9683,0.6142,0.5088,0.5861,2.1574,0.5697
