Epoch,Avg Train Loss,Actions Acc,Looks Acc,Crosses Acc,Val Loss,Overall Val Acc
1,1.6625,0.4745,0.8513,0.8311,1.7036,0.719
2,1.3357,0.4119,0.7074,0.9544,1.9872,0.6912
3,1.2271,0.4298,0.8624,0.9344,1.7627,0.7422
4,1.1145,0.4707,0.8652,0.9223,1.7418,0.7527
5,1.0402,0.4692,0.8692,0.9,1.6625,0.7461
6,0.9701,0.5112,0.7083,0.9805,1.5105,0.7333
7,0.9285,0.4761,0.7037,0.5851,2.619,0.5883
8,0.8679,0.5225,0.8802,0.8925,1.453,0.7651
9,0.8245,0.4822,0.5409,0.979,1.7573,0.6674
10,0.7991,0.6027,0.8186,0.9548,1.3443,0.792
11,0.7803,0.4425,0.8885,0.975,1.6874,0.7687
12,0.769,0.5245,0.8865,0.9749,1.268,0.7953
13,0.7389,0.432,0.8885,0.2056,2.8099,0.5087
