Epoch,Avg Train Loss,Actions Acc,Looks Acc,Crosses Acc,Val Loss,Overall Val Acc
1,0.9525,0.5801,0.8249,0.9513,1.4697,0.7854
2,0.8894,0.4537,0.8814,0.97,1.6373,0.7684
3,0.8415,0.554,0.6972,0.9497,1.6685,0.7336
4,0.8587,0.4241,0.8655,0.9578,1.9541,0.7491
5,0.9077,0.5291,0.8761,0.9134,1.5405,0.7729
6,0.8834,0.4624,0.6148,0.9548,1.9109,0.6773
7,0.8727,0.4462,0.875,0.9163,1.7284,0.7458
8,0.9216,0.5655,0.878,0.9712,1.2537,0.8049
9,0.8594,0.5524,0.8694,0.9596,1.411,0.7938
10,0.8221,0.4352,0.8813,0.9651,1.444,0.7605
11,0.7621,0.4589,0.8609,0.9468,1.738,0.7555
12,0.7705,0.4218,0.7978,0.9672,1.8245,0.7289
13,0.6811,0.5489,0.8781,0.9366,1.4061,0.7879
14,0.6372,0.5685,0.8414,0.9315,1.4668,0.7805
15,0.6417,0.5896,0.8798,0.9705,1.2727,0.8133
16,0.6087,0.4947,0.8395,0.9712,1.4402,0.7685
17,0.5804,0.5042,0.8538,0.9694,1.4521,0.7758
18,0.5967,0.5381,0.8652,0.9481,1.4922,0.7838
19,0.5727,0.5709,0.8624,0.9642,1.3796,0.7992
20,0.5626,0.5764,0.7857,0.9302,1.6046,0.7641
21,0.5787,0.5595,0.8675,0.9528,1.397,0.7933
22,0.5682,0.5139,0.8437,0.934,1.6759,0.7639
23,0.5564,0.5442,0.8396,0.9441,1.5693,0.776
