Epoch,Avg Train Loss,Actions Acc,Looks Acc,Crosses Acc,Val Loss,Overall Val Acc
1,0.9266,0.4184,0.8814,0.7225,1.9151,0.6741
2,0.8506,0.4672,0.6871,0.4817,2.4599,0.5453
3,0.8122,0.4637,0.8813,0.4488,3.0823,0.5979
4,0.7511,0.5579,0.8268,0.9109,1.5865,0.7652
5,0.7209,0.5462,0.3407,0.7945,2.535,0.5605
6,0.6972,0.431,0.3925,0.3988,3.4049,0.4074
7,0.6194,0.51,0.8013,0.9462,1.5065,0.7525
8,0.5805,0.4824,0.8437,0.9604,1.7751,0.7622
9,0.5477,0.5737,0.8668,0.8723,1.4203,0.7709
10,0.5193,0.4227,0.8814,0.974,1.7182,0.7594
11,0.4923,0.4582,0.3946,0.4764,2.3473,0.4431
12,0.4671,0.5004,0.8696,0.9649,1.6226,0.7783
13,0.4451,0.6375,0.8625,0.9719,1.2132,0.824
14,0.4189,0.6213,0.81,0.8872,1.635,0.7728
15,0.4065,0.5933,0.8123,0.969,1.3811,0.7915
16,0.3915,0.4857,0.3015,0.9715,2.3457,0.5862
17,0.391,0.4327,0.2232,0.7583,2.3132,0.4714
18,0.3805,0.586,0.8466,0.968,1.3509,0.8002
19,0.3639,0.6128,0.8289,0.9713,1.3993,0.8044
20,0.3714,0.5698,0.8061,0.9636,1.3781,0.7799
21,0.3602,0.6168,0.83,0.9533,1.3983,0.8
22,0.3564,0.6039,0.5771,0.9652,1.7172,0.7154
23,0.3652,0.6388,0.8374,0.9739,1.2405,0.8167
24,0.3609,0.5574,0.8658,0.9677,1.3704,0.797
25,0.3572,0.5989,0.7797,0.9686,1.414,0.7824
26,0.3675,0.6481,0.7767,0.9523,1.3557,0.7924
27,0.3628,0.6176,0.8346,0.9678,1.3515,0.8067
28,0.3584,0.6416,0.8524,0.9704,1.1957,0.8215
29,0.3584,0.6014,0.8246,0.9728,1.2862,0.7996
30,0.3546,0.663,0.7382,0.9577,1.3787,0.7863
